Text,Predicted_Label,Confidence
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
the government announced new economic reforms to control inflation,reforms new inflation,0.9708
the football team won the championship after a thrilling match,Uncertain,0.3809
a new aipowered smartphone was launched with advanced features,smartphone new launched,0.9774
the weather was pleasant throughout the day,weather day pleasant,0.9868
